#Cell_Idx|Cell_Z|Cell_X|Tier
#C_Idx|C_Z|C_X|Tier
#North America|||
1|18253|-21589|1
2|15765|-16528|1
3|12079|-20183|1
#South America|||
4|1657|-19796|1
5|-2602|-16257|1
6|-6874|-18965|1
#Eurasia|||
7|16419|2962|1
8|20148|8997|1
9|19727|17648|1
10|15345|14623|1
11|12158|4667|1
12|11127|11225|1
13|11843|19875|1
14|7716|15907|1
#Africa|||
15|3416|407|1
16|3234|4577|
17|-2262|4839|1
18|-6838|4616|1
#Australia|||
19|-15284|18764|1
#|||
20|5622|-9563|2
21|-25130|1515|2
22|-7433|-325|2
23|26550|1759|2
24|-12319|-25756|2
25|-1887|20496|2
26|-16491|1300|2
27|-26251|10049|2
28|-9370|-14215|2
29|-20803|-18681|2
30|-25475|4445|2
31|-23495|23672|2
32|-18884|3088|2
33|9944|-17294|2
34|14026|-17919|2
35|-10142|23900|2
36|-19852|-25619|2
37|-6387|6414|2
38|19310|12739|2
39|1712|-16423|2
40|-16545|-3534|2
41|17739|23166|2
42|5157|11694|2
43|-24376|25245|2
44|11815|-5791|2
45|-6815|-14078|2
46|19056|13244|2
47|-12727|-22547|2
48|4116|-5330|2
49|-13043|-12842|2
50|5320|11573|2
51|813|2273|2
52|-19600|-14021|2
53|-14529|26066|2
54|-13529|3238|2
55|-9298|-8471|2
56|-1236|-18289|2
57|5542|-768|2
58|21351|12858|2
59|13274|1294|2
60|12245|-15824|2
61|9573|25517|2
62|7369|-1875|2
63|9244|19456|2
64|-20037|17382|2
65|-9884|-350|2
66|11519|7114|2
67|840|7878|2
68|18942|3161|2
69|19201|-4525|2
70|-3733|20444|2
71|-21982|24597|2
72|-15512|-5996|2
73|872|-12243|2
74|14256|9341|2
75|15323|-14438|2
76|-3921|-25522|2
77|-23224|23308|2
78|-25056|-8731|2
79|20081|-12328|2
80|-5131|6543|2
81|-19660|17965|2
82|-24926|17540|2
83|-19455|-16326|2
84|-11110|13548|2
85|25321|26308|2
86|15256|-1260|2
87|-5608|-20810|2
88|23716|22896|2
89|-8179|-13171|2
90|-20885|-8238|2
91|26724|13974|2
92|11223|859|2
93|16289|-17556|2
94|26957|-1284|2
95|9710|8714|2
96|-4829|-3519|2
97|10291|-17574|2
98|-22958|-18704|2
99|-8139|-14952|2
100|-14057|6030|2
101|-9905|-207|2
102|-18265|-22858|2
103|13570|20326|2
104|25190|7948|2
105|-1571|17296|2
106|12021|-765|2
107|-9837|26701|2
108|21527|3655|2
109|-8551|25350|2
110|-26503|-19779|2
111|-9866|-25181|2
112|-2651|10815|2
113|-20066|15675|2
114|16960|-15916|2
115|-24582|15918|2
116|7145|20686|2
117|-8857|9529|2
118|-25410|-24171|2
119|4955|-26256|2
120|-14874|14892|2
121|12070|-16921|2
122|-2118|17966|2
123|-163|18264|2
124|3605|18188|2
125|-16292|-15320|2
126|-12334|-17956|2
127|-26158|-16159|2
128|26902|26363|2
129|-15865|-14889|2
130|-4849|-17418|2
131|18444|10069|2
132|-16217|22443|2
133|16119|7771|2
134|6511|14428|2
135|14690|-14245|2
136|-3992|16037|2
137|-18341|24882|2
138|12949|10269|2
139|19203|21448|2
140|19190|2005|2
141|13859|-5018|2
142|14613|-716|2
143|17492|-22290|2
144|-1692|-15915|2
145|-3995|664|2
146|14837|-23015|2
147|25426|-16607|2
148|-14760|17732|2
149|-9044|24964|2
150|7533|19924|2
151|16637|9624|2
152|16295|-6051|2
153|-22980|1156|2
154|25160|10171|2
155|22622|25219|2
156|-11030|7368|2
157|15820|-10489|2
158|-15987|-13854|2
159|-26661|20839|2
160|18391|-22875|2
161|-1996|3940|2
162|-4405|2658|2
163|3127|-5403|2
164|-24626|7305|2
165|15775|-1738|2
166|-11205|-19115|2
167|4465|-4956|2
168|17929|2997|2
169|-26832|-24437|2
170|25372|-2249|2
171|-7809|-18073|2
172|21282|-14355|2
173|-26701|22215|2
174|-20934|12019|2
175|23417|20138|2
176|-6098|917|2
177|-10537|-10704|2
178|3635|-10464|2
179|-7145|1820|2
180|5945|-23050|2
181|-19912|-5778|2
182|-4961|15565|2
183|7428|-9645|2
184|-610|13851|2
185|-5646|2167|2
186|-22150|19191|2
187|-13654|-10696|2
188|11098|-25451|2
189|656|-9353|2
190|-14014|-18454|2
191|12340|7570|2
192|-10283|21574|2
193|-19051|-15109|2
194|-16698|-2616|2
195|11795|1780|2
196|11444|-15992|2
197|-1425|-4991|2
198|1091|5234|2
199|34|-4372|2
200|-12845|-5733|2
201|-21462|-16159|2
202|17166|11150|2
203|-26744|-1641|2
204|24844|23244|2
205|24422|-9915|2
206|7255|-21525|2
207|-7605|-2375|2
208|-7922|4541|2
209|19481|-8452|2
210|-15991|-10841|2
211|-14456|-12168|2
212|20058|9233|2
213|-4084|19016|2
214|-4055|-9697|2
215|13163|10480|2
216|23125|5211|2
217|25678|-16245|2
218|-13504|9102|2
219|-6815|-18134|2
220|14129|-9341|2
221|1350|25464|2
222|-389|-23185|2
223|-23657|-20522|2
224|-21734|23065|2
225|9810|26391|2
226|-879|13517|2
227|-3870|12177|2
228|-11571|26877|2
229|-12499|1112|2
230|15502|25692|2
231|17404|-8520|2
232|10621|3873|2
233|25759|-5482|2
234|-7995|20654|2
235|-6283|-15694|2
236|6479|16404|2
237|-12540|-1133|2
238|1972|-26298|2
239|-6996|-17094|2
240|21041|26118|2
241|24793|6159|2
242|-6464|-8600|2
243|-26568|-13361|2
244|21092|12001|2
245|-7716|-19201|2
246|8848|-18928|2
247|8046|-21973|2
248|6146|26982|2
249|-10684|9260|2
250|-5790|272|2
251|-8575|12787|2
252|-6768|2891|2
253|23154|5930|2
254|6103|16412|2
255|14569|9582|2
256|20883|25561|2
257|5663|-7372|2
258|3817|25320|2
259|-25311|25583|2
260|3647|6086|2
261|-25467|17159|2
262|18051|-9079|2
263|-6293|-13390|2
264|-10760|22715|2
265|5729|10785|2
266|25936|26593|2
267|-19005|-10859|2
268|-17699|16416|2
269|23398|11861|2
270|22645|-21755|2
271|11598|7848|2
272|-24749|26165|2
273|-479|25465|2
274|-12621|14483|2
275|146|-20290|2
276|26912|-5985|2
277|-11593|-11989|2
278|-8513|-11734|2
279|3062|26170|2
280|-25725|-25301|2
281|-14307|-2143|2
282|-6478|-23271|2
283|-21120|8827|2
284|2057|8312|2
285|-2893|-21000|2
286|-5481|6568|2
287|14654|-6728|2
288|3670|22357|2
289|-26692|20139|2
290|-3371|14848|2
291|10983|-1259|2
292|-6008|20693|2
293|-7725|20224|2
294|26641|-16659|2
295|-20161|13053|2
296|8734|-26195|2
297|16668|15355|2
298|-11515|-6489|2
299|-4861|22524|2
300|22086|-3430|2
301|26528|2556|2
302|-18328|-1667|2
303|12586|5732|2
304|8845|-1900|2
305|-3508|-17688|2
306|20718|19412|2
307|-3689|-9660|2
308|25993|22489|2
#|||
309|10694|3371|3
310|-2674|15836|3
311|-1597|-14731|3
312|-7961|20657|3
313|-21566|-4380|3
314|24066|-2027|3
315|7354|14164|3
316|-8573|7820|3
317|6272|8991|3
318|-5806|19905|3
319|-15999|17248|3
320|5138|-13238|3
321|9292|18700|3
322|-1065|8405|3
323|-3061|22819|3
324|-26719|19517|3
325|7549|-5784|3
326|-19093|382|3
327|-24267|-13686|3
328|-16866|24180|3
329|20937|-2092|3
330|16700|-12352|3
331|-6713|-25409|3
332|212|-26597|3
333|6190|-17693|3
334|-7451|-22769|3
335|-11217|5097|3
336|-2279|-25717|3
337|-1392|17776|3
338|-19307|-12521|3
339|-4400|3881|3
340|-15043|21834|3
341|19746|16455|3
342|-14212|6807|3
343|4914|-4905|3
344|4602|16952|3
345|-396|13889|3
346|1786|-26474|3
347|26103|26024|3
348|9607|25991|3
349|-24576|17433|3
350|17642|-17132|3
351|25233|7819|3
352|-17885|-18921|3
353|5109|-3552|3
354|-25099|-19252|3
355|2827|-11986|3
356|-10047|9027|3
357|-6952|705|3
358|-24670|-20384|3
359|-7298|-14919|3
360|14963|22013|3
361|-16745|-2404|3
362|14005|-24877|3
363|7025|15822|3
364|2125|-7156|3
365|-5068|-2612|3
366|13620|6760|3
367|20792|-20251|3
368|-13250|-19415|3
369|3303|5613|3
370|22485|-8022|3
371|6236|-4718|3
372|-5236|-25279|3
373|933|-11170|3
374|7178|4540|3
375|4032|-14710|3
376|-10767|-22294|3
